company,count,min,mean,max
INFOSYS LIMITED,5944,63200,82580.54004037684,159252
CAPGEMINI AMERICA INC,5403,48200,88839.45456228021,155218
DELOITTE CONSULTING LLP,5365,36067,74632.8972972973,150000
LARSEN & TOUBRO INFOTECH LIMITED,1120,63066,112437.54017857143,220000
DELOITTE & TOUCHE LLP,822,43992,60735.60583941606,78042
WIPRO LIMITED,640,60000,80101.68125,102898
THE BOSTON CONSULTING GROUP INC,208,120000,164525.67307692306,165000
DELOITTE TRANSACTIONS AND BUSINESS ANALYTICS LLP,204,42078,63674.098039215685,82800
PERFICIENT INC,192,62192,91625.65625,140000
HEADSTRONG SERVICES LLC,190,80912,92165.13684210526,109242
IBM CORPORATION,186,55500,92655.21505376344,149200
LITMUS7 SYSTEMS CONSULTING INC,172,95000,127511.62790697675,155000
GENPACT LLC,144,62500,84466.64583333333,107200
LATENTVIEW ANALYTICS CORPORATION,112,95000,115655.60714285714,130000
ITC INFOTECH (USA) INC,98,48194,84634.38775510204,150000
IBM INDIA PRIVATE LIMITED,92,65000,84854.5,109075
SONATA SOFTWARE NORTH AMERICA INC,86,63232,74410.79069767441,81493
CAPGEMINI AMERICA INC (LEGACY CAPGEMINI FINANCIAL SERVICES INC),86,88404,111234.29069767441,143290
GSPANN TECHNOLOGIES INC,80,70158,104387.1875,172500
ORACLE FINANCIAL SERVICES SOFTWARE INC,64,62442,82853.25,96366
