tokens,count,min,mean,max
softwar engin,30168,9000,111735.1346128348,938000
senior softwar engin,5329,47091,125365.60592981798,275000
softwar develop engin,2745,35235,127730.72058287796,316250
engin,2485,1466,90621.7939637827,712000
lead engin,2296,60000,75945.17465156794,187272
mechan engin,1750,24000,79477.172,728000
devop engin,1670,56000,95003.82814371257,940156
system engin,1658,39208,88548.5886610374,205000
network engin,1432,45760,88552.66201117319,194000
design engin,1369,2810,75752.58363769174,165000
